1718,1767,1774,1775,1792,1816,1828,1834,1878,1906
0.5,0.8,1.4,2.7,4.5,7.5,12.0,17.0,17.2,23.0
Newcomen,Smeaton,Smeaton,Watt,Watt,Woolfcompound,ImprovedCornish,ImprovedCornish,Corliss compound,Corlisscompound
